start;open;high;low;close;volume;end;quote asset volume;number trades;taker buy base asset volume;taker buy quote asset volume
1639818000000;46308.88;46841.70;46301.79;46813.94;7590.173;1639821599999;353534492.66367;109422;4227.672;196960721.31061
1639821600000;46813.94;47328.49;46671.23;47299.82;14118.998;1639825199999;663579550.48078;186871;7652.512;359774860.63599
1639825200000;47302.86;47336.99;46907.40;47059.59;8905.097;1639828799999;419658929.51182;129635;4111.670;193784963.75248
1639828800000;47055.71;47150.00;46865.95;47018.28;5854.718;1639832399999;275225196.57598;95347;2908.388;136726647.49135
1639832400000;47018.28;47071.40;46550.00;46621.71;8234.363;1639835999999;385717049.41791;113228;3505.350;164277784.76765
1639836000000;46622.15;47035.60;46590.00;46980.68;7943.755;1639839599999;371941230.25796;120768;4589.920;214926055.84896
1639839600000;46982.92;47220.97;46800.14;46846.39;7772.317;1639843199999;365176131.86638;111580;3760.567;176750597.23385
1639843200000;46845.24;46977.65;46728.47;46783.80;6422.152;1639846799999;300874172.18166;99031;3284.480;153884920.94675
1639846800000;46783.80;46848.21;46590.00;46657.55;5650.931;1639850399999;264038770.28072;100366;2620.680;122463257.06980
1639850400000;46657.54;46774.87;46618.00;46720.28;3247.319;1639853999999;151677065.34400;64718;1747.446;81623161.70826
1639854000000;46720.28;46762.37;46310.00;46623.99;8691.792;1639857599999;404203140.22740;121371;4036.248;187728877.73518
1639857600000;46623.99;46868.96;46506.52;46835.56;4573.197;1639861199999;213530661.27043;76469;2584.413;120709660.78244
1639861200000;46835.48;46964.17;46719.56;46916.99;4234.245;1639864799999;198356038.37193;73756;2126.881;99648283.33742
1639864800000;46916.98;47098.60;46637.62;46762.67;5664.773;1639868399999;265689029.08018;85859;2609.809;122447091.08113
1639868400000;46762.66;46983.99;46626.12;46815.99;4282.631;1639871999999;200509488.75457;76541;2131.628;99811648.77392
1639872000000;46815.99;46881.23;46530.00;46648.65;4930.432;1639875599999;230164069.88437;73437;2328.876;108728665.29768
1639875600000;46648.66;46805.61;46399.37;46558.13;5810.492;1639879199999;270710698.44874;81199;2942.553;137082960.44262
1639879200000;46560.90;47160.92;46520.00;47121.61;7041.505;1639882799999;330065126.89405;98779;3664.650;171768248.84183
1639882800000;47120.29;47950.00;47100.17;47685.96;22129.261;1639886399999;1053825847.75871;234750;11326.125;539154298.84490
1639886400000;47685.96;48055.00;47682.47;47871.31;10516.229;1639889999999;503821120.55133;124015;5396.172;258550977.65787
1639890000000;47871.32;48009.89;47522.86;47601.88;8831.258;1639893599999;421851376.80026;114176;3968.166;189603007.73348
1639893600000;47601.89;47666.00;47429.07;47471.12;6019.096;1639897199999;286289882.37146;91440;3081.152;146572809.24678
1639897200000;47470.94;47732.98;47422.24;47507.85;7017.069;1639900799999;333835550.38609;94658;3423.492;162899464.34234
1639900800000;47507.85;47628.50;47392.45;47462.68;4289.384;1639904399999;203812071.65544;74098;2107.065;100128290.02812
1639904400000;47463.03;47548.11;47014.89;47093.60;14369.930;1639907999999;678129858.16388;157973;7036.180;332055518.32989
1639908000000;47093.60;47224.89;46800.00;47126.85;10972.358;1639911599999;515965933.88919;135441;5932.540;279033757.29028
1639911600000;47126.86;47189.73;46949.64;47141.22;6650.009;1639915199999;313011141.57407;88711;3449.401;162377501.63583
1639915200000;47141.22;47275.00;46844.13;47234.99;8377.259;1639918799999;394349732.15948;111162;3985.951;187690986.33310
1639918800000;47235.18;47750.00;46860.00;47607.22;18308.690;1639922399999;865204485.98535;201669;9605.956;454027683.94413
1639922400000;47606.89;48461.17;46958.61;47372.69;35809.167;1639925999999;1705394923.14961;355675;18127.488;863696914.82487
1639926000000;47372.69;47452.37;47125.00;47228.69;6075.187;1639929599999;287056081.42426;83988;2827.470;133613029.27180
1639929600000;47230.34;47473.33;47129.23;47162.00;7110.963;1639933199999;336131368.28145;83515;3668.543;173414165.28292
1639933200000;47162.01;47234.46;47014.00;47129.99;6432.641;1639936799999;303019860.87906;76797;3036.786;143069513.12608
1639936800000;47129.98;47176.02;46860.00;47104.73;6226.077;1639940399999;292625517.39421;80462;3014.083;141678611.88919
1639940400000;47104.73;47144.92;46447.05;46656.13;11263.954;1639943999999;526217754.99478;125822;4503.795;210434585.57404
1639944000000;46658.72;46874.92;46450.00;46753.58;6909.539;1639947599999;322722415.27685;85820;3499.898;163509375.54088
1639947600000;46752.09;46865.49;46620.00;46714.99;4243.940;1639951199999;198401124.75711;52030;1883.605;88071099.05774
1639951200000;46714.99;47549.79;46638.02;47282.40;11100.784;1639954799999;523351678.74133;122273;6397.657;301609143.42203
1639954800000;47282.39;47426.06;46560.00;46668.63;11263.317;1639958399999;528776486.29877;121135;4948.550;232369500.48074
1639958400000;46668.65;46870.84;46200.00;46866.62;16466.885;1639961999999;765875394.01416;176052;8432.742;392392614.12816
1639962000000;46866.61;47203.22;46481.00;46605.53;13838.507;1639965599999;648078092.87740;145615;6587.553;308601669.34154
1639965600000;46605.52;46820.00;46450.00;46717.81;6033.744;1639969199999;281439400.40654;79239;3023.328;141041513.53767
1639969200000;46717.81;46830.00;46480.00;46676.54;5713.545;1639972799999;266354975.23690;86397;2779.651;129592221.31585
1639972800000;46676.54;47026.00;46650.00;46950.75;6293.047;1639976399999;294836901.84055;90227;3121.101;146240180.89772
1639976400000;46950.76;47027.60;46364.77;46432.80;9376.118;1639979999999;437588819.13560;126912;4672.982;218041266.87146
1639980000000;46432.80;46660.49;46250.00;46545.18;10420.094;1639983599999;483988676.15675;144861;5237.576;243310293.05317
1639983600000;46545.19;46545.19;46069.65;46421.66;11391.364;1639987199999;527623824.84918;140072;5730.550;265494536.26795
1639987200000;46421.66;46548.04;46127.55;46271.34;8812.660;1639990799999;408479194.26048;121049;4067.453;188517171.67494
1639990800000;46271.48;46300.71;45801.19;45837.00;16086.755;1639994399999;739741072.83995;202196;7280.861;334853472.49715
1639994400000;45837.00;46145.96;45736.00;45879.75;10082.826;1639997999999;463275340.72081;131976;5202.764;239079104.46948
1639998000000;45879.74;46129.84;45813.59;46074.13;8317.294;1640001599999;382713092.40428;111021;4250.265;195565126.74500
1640001600000;46074.13;46078.95;45622.00;45711.83;12064.004;1640005199999;552692135.67840;153763;5740.820;263034899.45016
1640005200000;45711.83;45978.51;45550.00;45703.07;12055.762;1640008799999;551963406.85730;155258;5807.646;265939462.01639
1640008800000;45700.93;46300.00;45530.67;46282.07;28439.953;1640012399999;1304463016.74764;309525;14701.494;674555860.75907
1640012400000;46280.82;46285.65;45900.00;45969.00;11605.461;1640015999999;535061856.65821;152469;5206.602;240084276.02435
1640016000000;45969.13;46482.00;45850.33;46391.53;12667.381;1640019599999;584996607.19211;155481;6983.959;322549861.85971
1640019600000;46391.53;46485.49;46063.05;46099.82;9325.109;1640023199999;431452574.33804;117370;4288.022;198459692.60311
1640023200000;46099.83;46315.00;46017.00;46240.74;7233.170;1640026799999;333873090.52367;97689;3566.184;164618206.00508
